timestamp,updated_heading,uncertainty
1650828105.669056,nan,3.141592653589793
1650828105.869013,-116.22070940737446,3.141592653589793
1650828106.069034,-116.28233137406629,3.141592653589793
1650828106.26903,-116.23443808760618,3.141592653589793
1650828106.469315,-116.27916216629143,3.141592653589793
1650828106.669064,-116.30592284745948,3.141592653589793
1650828106.869015,-116.1962300093891,3.141592653589793
1650828107.069017,-116.17262487561754,3.141592653589793
1650828107.269003,-116.24118631450612,3.141592653589793
1650828107.469891,-116.30504858324575,3.141592653589793
1650828107.669198,-116.17782947976508,3.141592653589793
1650828107.869003,-116.22214374710013,3.141592653589793
1650828108.069463,-116.29524043159763,3.141592653589793
1650828108.269026,-116.18353951791121,3.141592653589793
1650828108.469807,-116.16027589359813,3.141592653589793
1650828108.669076,-116.11876200382284,3.141592653589793
1650828108.868948,-116.11876200382284,3.141592653589793
1650828109.069452,-116.16591762985259,3.141592653589793
1650828109.269033,-116.16591762985259,3.141592653589793
1650828109.469811,-116.20987672735082,3.141592653589793
1650828109.66912,-116.17722842311812,3.141592653589793
1650828109.869008,-116.25363091917392,3.141592653589793
1650828110.069505,-116.2524834473933,3.141592653589793
1650828110.269131,-116.18849823524864,3.141592653589793
1650828110.469769,-116.19465906588002,3.141592653589793
1650828110.669036,-116.27287839225498,3.141592653589793
1650828110.86901,-116.2034290287743,3.141592653589793
1650828111.069022,-116.20237717964214,3.141592653589793
1650828111.269036,-116.19587483955226,3.141592653589793
1650828111.469313,-116.16024857284147,3.141592653589793
1650828111.669165,-116.25629469295019,3.141592653589793
1650828111.869031,-116.24647288092369,3.141592653589793
1650828112.069524,-116.22157001120985,3.141592653589793
1650828112.269032,-116.19047899010798,3.141592653589793
1650828112.469442,-116.14651989260975,3.141592653589793
1650828112.669056,-116.18049325354139,3.141592653589793
1650828112.869058,-116.29790420537391,3.141592653589793
1650828113.069448,-116.16113649743357,3.141592653589793
1650828113.269024,-116.19295151858749,3.141592653589793
1650828113.469909,-116.28944843118144,3.141592653589793
1650828113.669042,173.9868,1.571
1650828113.868985,173.93902965694497,2.356
1650828114.069028,174.01966687028607,2.356
1650828114.268986,173.96977916858827,2.356
1650828114.469289,173.99853426499408,2.356
1650828114.669045,174.02000837974458,2.356
1650828114.868987,174.02000837974458,2.356
1650828115.069448,174.09624695126024,2.356
1650828115.268992,173.97990150893827,2.356
1650828115.469495,174.00043305758334,2.356
1650828115.669019,174.01402513403173,2.356
1650828115.86897,173.9929744910097,2.356
1650828116.069007,174.082695855947,2.356
1650828116.269044,174.00546007681248,2.356
1650828116.469309,173.99476400057222,2.356
1650828116.669049,173.96426037573895,2.356
1650828116.868963,173.98865781145423,2.356
1650828117.069447,173.98865781145423,2.356
1650828117.269,174.04948747620233,2.356
1650828117.469335,174.10108272519267,2.356
1650828117.669054,174.10108272519267,2.356
1650828117.869031,173.95505328073773,2.356
1650828118.069094,173.98277018838968,2.356
1650828118.269046,174.00349298233152,2.356
1650828118.469402,174.11869095287295,2.356
1650828118.668998,174.09112430938274,2.356
1650828118.868975,173.99043366063847,2.356
1650828119.068962,173.99043366063847,2.356
1650828119.268991,182.9418,1.571
1650828119.469282,-176.98851841008752,2.356
1650828119.669045,-177.08224226587845,2.356
1650828119.868971,-176.92910942468671,2.356
1650828120.069452,-177.09112151179943,2.356
1650828120.269042,-177.01323003450466,2.356
1650828120.469645,-177.02883018656894,2.356
1650828120.66915,-176.96953048419488,2.356
1650828120.868961,-177.0207432425916,2.356
1650828121.069502,-177.01428188363684,2.356
1650828121.269028,-176.99880467497758,2.356
1650828121.469324,-177.0567110187609,2.356
1650828121.669123,-177.0043917697186,2.356
1650828121.869009,-177.0043917697186,2.356
1650828122.069034,-177.01001984559474,2.356
1650828122.269019,-176.97682512622845,2.356
1650828122.469774,-176.97682512622845,2.356
1650828122.669059,-176.98028120194851,2.356
1650828122.86904,-177.0122328268858,2.356
1650828123.069193,-177.02743682797825,2.356
1650828123.269034,-177.00810739262715,2.356
1650828123.469796,-176.9664295783117,2.356
1650828123.669169,-177.02930829981085,2.356
1650828123.869014,-177.01071652489009,2.356
1650828124.069054,208.7048,1.571
1650828124.268998,215.8468,1.571
1650828124.469287,223.2368,1.571
1650828124.669114,232.3558,1.571
1650828124.868976,222.2048,1.571
1650828125.069065,202.6608,1.571
1650828125.26903,188.2388,1.571
1650828125.469771,190.4758,1.571
1650828125.669053,188.9498,1.571
1650828125.869022,203.9788,1.571
1650828126.069027,199.8698,1.571
1650828126.269013,195.7678,1.571
1650828126.46929,207.2588,1.571
1650828126.669117,208.5258,1.571
1650828126.868996,209.0858,1.571
1650828127.06926,206.23579999999998,1.571
1650828127.269005,199.0688,1.571
1650828127.469796,217.1158,1.571
1650828127.669035,201.0868,1.571
1650828127.868978,210.1638,1.571
1650828128.06935,209.8838,1.571
1650828128.268992,203.4808,1.571
1650828128.469806,202.2798,1.571
1650828128.669063,212.8918,1.571
1650828128.869002,198.5378,1.571
1650828129.069468,202.4258,1.571
1650828129.269033,203.3938,1.571
1650828129.469815,205.0088,1.571
1650828129.669174,206.6448,1.571
1650828129.869013,210.90879999999999,1.571
1650828130.069039,210.9348,1.571
1650828130.269001,201.5238,1.571
1650828130.469289,206.5568,1.571
1650828130.669109,197.1508,1.571
1650828130.86896,204.5048,1.571
1650828131.069444,203.3448,1.571
1650828131.269024,206.3368,1.571
1650828131.469768,207.4198,1.571
1650828131.669027,204.5608,1.571
1650828131.869104,206.4058,1.571
1650828132.069053,206.8088,1.571
1650828132.269006,203.5788,1.571
1650828132.469809,207.8288,1.571
1650828132.669034,208.7578,1.571
1650828132.868976,207.2768,1.571
1650828133.06899,192.0938,1.571
1650828133.269034,204.7388,1.571
1650828133.46981,204.2128,1.571
1650828133.669137,197.7818,1.571
1650828133.869003,204.5578,1.571
1650828134.069045,203.1948,1.571
1650828134.26901,203.7508,1.571
1650828134.469884,201.4178,1.571
1650828134.669108,201.25979999999998,1.571
1650828134.868967,206.1878,1.571
1650828135.069488,206.1438,1.571
1650828135.269033,202.9928,1.571
1650828135.469797,204.5208,1.571
1650828135.669111,194.8198,1.571
1650828135.868983,205.0908,1.571
1650828136.069482,205.0798,1.571
1650828136.269014,207.14079999999998,1.571
1650828136.469271,202.7008,1.571
1650828136.669036,193.3378,1.571
1650828136.869035,201.7788,1.571
1650828137.069514,196.8158,1.571
1650828137.26905,200.9758,1.571
1650828137.469697,205.5958,1.571
1650828137.669102,205.6618,1.571
1650828137.869058,203.9388,1.571
1650828138.06951,203.3188,1.571
1650828138.269042,206.8878,1.571
1650828138.469751,200.7198,1.571
1650828138.66916,205.8428,1.571
1650828138.868941,199.6688,1.571
1650828139.06897,191.8058,1.571
1650828139.26901,192.9378,1.571
1650828139.469327,194.7198,1.571
1650828139.669175,198.4548,1.571
1650828139.868985,205.1458,1.571
1650828140.069021,204.61679999999998,1.571
1650828140.269035,205.9738,1.571
