timestamp,updated_heading,uncertainty
1545609910.856563,26.921523620658434,2.356
1545609911.056319,25.212603460132016,2.356
1545609911.256276,24.18944112246413,2.356
1545609911.456284,22.535135154541194,2.356
1545609911.656332,21.779675251202747,2.356
1545609911.857243,26.12935828072034,2.356
1545609912.056404,30.440102401779654,2.356
1545609912.256336,36.01268982105296,2.356
1545609912.456339,42.67464460161915,2.356
1545609912.656316,48.241364888395424,2.356
1545609912.856552,52.073811352446256,2.356
1545609913.056355,51.58293931717577,2.356
1545609913.256277,51.83844303364762,2.356
1545609913.456339,52.03893640654417,2.356
1545609913.656294,52.045001614527166,2.356
1545609913.85661,52.045001614527166,2.356
1545609914.056266,51.59337584622756,2.356
1545609914.256247,51.492261725754645,2.356
1545609914.456327,51.40697998377789,2.356
1545609914.656323,51.355138847977514,2.356
1545609914.856998,51.28898163567675,2.356
1545609915.056241,51.28898163567675,2.356
1545609915.256237,49.43647040822924,2.356
1545609915.456341,47.88743814598368,2.356
1545609915.656251,45.272308976947556,2.356
1545609915.856577,41.24262031004508,2.356
1545609916.056353,37.679863865372226,2.356
1545609916.256198,34.14872436636733,2.356
1545609916.456227,32.70413252672046,2.356
1545609916.656297,31.971936247695055,2.356
1545609916.856504,31.402161867132605,2.356
1545609917.056208,29.90805798619232,2.356
1545609917.256183,29.223010503007572,2.356
1545609917.456189,28.555742002232336,2.356
1545609917.656277,28.155212879113606,2.356
1545609917.856544,28.241621602303468,2.356
1545609918.056347,28.00335728329668,2.356
1545609918.256183,27.715731187158298,2.356
1545609918.456249,27.519848191951496,2.356
1545609918.656234,26.312926444853588,2.356
1545609918.857019,25.69467138156233,2.356
1545609919.056219,25.185460288370393,2.356
1545609919.256223,24.947469176930497,2.356
1545609919.456188,24.6812079125159,2.356
1545609919.656199,24.400500798006703,2.356
1545609919.856883,18.5917,1.571
1545609920.056279,18.5917,1.571
1545609920.256259,16.6597,1.571
1545609920.456146,12.6367,1.571
1545609920.656499,22.122700000000002,1.571
1545609920.856475,23.3397,1.571
1545609921.056686,34.8757,1.571
1545609921.256157,18.0957,1.571
1545609921.456497,27.5507,1.571
1545609921.656209,19.996699999999997,1.571
1545609921.856479,15.8887,1.571
1545609922.056192,27.1807,1.571
1545609922.256197,27.417699999999996,1.571
1545609922.4563,35.7497,1.571
1545609922.656479,30.7087,1.571
1545609922.857045,19.7177,1.571
1545609923.056514,16.7667,1.571
1545609923.256127,17.3727,1.571
1545609923.456187,15.4997,1.571
1545609923.656206,7.6387000000000285,1.571
1545609923.856574,11.938699999999999,1.571
1545609924.056154,17.8127,1.571
1545609924.256152,23.9147,1.571
1545609924.456223,27.6637,1.571
1545609924.656111,36.0767,1.571
1545609924.85651,25.5837,1.571
1545609925.056184,24.4787,1.571
1545609925.256088,27.240699999999997,1.571
1545609925.456113,28.8427,1.571
1545609925.656158,35.8117,1.571
1545609925.856441,26.5627,1.571
1545609926.056125,30.5497,1.571
1545609926.256103,18.3617,1.571
1545609926.456088,15.3097,1.571
1545609926.656084,11.1047,1.571
1545609926.856487,24.3017,1.571
1545609927.056151,16.6817,1.571
1545609927.256074,27.313699999999997,1.571
1545609927.45657,29.1817,1.571
1545609927.656189,23.017699999999998,1.571
1545609927.856406,18.6067,1.571
1545609928.056206,23.6057,1.571
1545609928.256089,23.128700000000002,1.571
1545609928.456132,21.493699999999997,1.571
1545609928.656128,24.755699999999997,1.571
1545609928.856428,14.747699999999998,1.571
1545609929.056052,11.717699999999999,1.571
1545609929.256074,16.456699999999998,1.571
1545609929.456056,16.7877,1.571
1545609929.656185,20.1097,1.571
1545609929.856385,19.054699999999997,1.571
1545609930.056079,20.645699999999998,1.571
1545609930.256076,18.871699999999997,1.571
1545609930.456067,21.8607,1.571
1545609930.656195,16.0127,1.571
1545609930.85679,23.6767,1.571
1545609931.05602,22.8997,1.571
1545609931.256029,28.8767,1.571
1545609931.456118,24.4737,1.571
1545609931.656033,21.9047,1.571
1545609931.856358,24.0527,1.571
1545609932.056141,10.5597,1.571
1545609932.256071,20.1377,1.571
1545609932.456012,19.3627,1.571
1545609932.656046,19.743699999999997,1.571
1545609932.856339,17.1787,1.571
1545609933.05605,19.2997,1.571
1545609933.256024,20.7247,1.571
1545609933.456094,16.5187,1.571
1545609933.656025,21.6627,1.571
1545609933.856337,24.1097,1.571
1545609934.056057,28.6197,1.571
1545609934.256041,40.7337,1.571
1545609934.456034,32.8407,1.571
1545609934.655995,37.0577,1.571
1545609934.856461,27.0807,1.571
1545609935.05602,22.8637,1.571
1545609935.255962,22.5707,1.571
1545609935.456072,18.4707,1.571
1545609935.656152,22.9867,1.571
1545609935.856329,28.539699999999996,1.571
1545609936.056035,23.2667,1.571
1545609936.256454,27.939700000000002,1.571
1545609936.456128,24.8707,1.571
1545609936.656017,25.2697,1.571
1545609936.856284,24.3507,1.571
1545609937.055984,26.079700000000003,1.571
1545609937.256105,29.4737,1.571
1545609937.456113,27.969699999999996,1.571
1545609937.655971,27.524700000000003,1.571
1545609937.85626,24.4727,1.571
1545609938.056056,29.752699999999997,1.571
1545609938.255977,24.386699999999998,1.571
1545609938.455966,27.313699999999997,1.571
1545609938.655946,27.3697,1.571
1545609938.856238,24.9607,1.571
1545609939.055942,23.761699999999998,1.571
1545609939.255994,24.7137,1.571
1545609939.456015,24.615699999999997,1.571
1545609939.655979,27.3617,1.571
1545609939.856276,20.5687,1.571
1545609940.056079,26.594699999999996,1.571
1545609940.25595,23.003700000000002,1.571
1545609940.456002,20.618699999999997,1.571
1545609940.656069,24.9157,1.571
1545609940.856286,27.0357,1.571
1545609941.055954,25.192700000000002,1.571
1545609941.255919,27.386699999999998,1.571
1545609941.455925,31.4887,1.571
1545609941.655924,21.6177,1.571
1545609941.856668,26.0347,1.571
1545609942.055938,25.0397,1.571
1545609942.255915,19.761699999999998,1.571
1545609942.455939,28.256700000000002,1.571
1545609942.655926,28.0957,1.571
1545609942.856216,21.7897,1.571
1545609943.05593,23.9527,1.571
1545609943.255928,28.3307,1.571
1545609943.455981,22.9277,1.571
1545609943.655885,26.362699999999997,1.571
1545609943.856635,9.7327,1.571
1545609944.055944,43.825700000000005,1.571
1545609944.255894,42.627700000000004,1.571
1545609944.455903,42.627700000000004,1.571
1545609944.655883,41.79701239314309,2.356
1545609944.856152,40.333125269090914,2.356
1545609945.055875,38.8654747108061,2.356
1545609945.255917,34.99901390468861,2.356
1545609945.455964,34.03515126939476,2.356
1545609945.655902,32.27169204834581,2.356
1545609945.856214,30.36289323194822,2.356
1545609946.056011,27.940409548452294,2.356
1545609946.255863,26.21042508452561,2.356
1545609946.455886,24.068928553294825,2.356
1545609946.655866,21.689133552111457,2.356
1545609946.856145,18.850363499081595,2.356
1545609947.055865,16.057253260653283,2.356
1545609947.25586,11.80585665329221,2.356
1545609947.455894,9.655166687438566,2.356
1545609947.656171,7.461241624138751,2.356
1545609947.856136,3.263373209303097,2.356
1545609948.055826,1.3598472989447146,2.356
1545609948.255848,359.48316744711906,2.356
1545609948.456181,357.0194908927388,2.356
1545609948.655926,355.0200110698255,2.356
1545609948.85616,350.5326211813567,2.356
1545609949.055898,347.88935504803476,2.356
1545609949.25581,345.14104402037253,2.356
1545609949.455872,343.1147352143994,2.356
1545609949.655916,338.7656840766982,2.356
1545609949.856898,336.3847348728633,2.356
1545609950.055863,334.0037856690284,2.356
1545609950.255853,331.6228364651935,2.356
1545609950.45584,329.24188726135856,2.356
1545609950.655844,326.8609380575237,2.356
1545609950.856184,324.4799888536888,2.356
1545609951.055804,322.09903964985386,2.356
1545609951.255852,319.71809044601895,2.356
1545609951.455826,317.33714124218403,2.356
1545609951.65582,314.9561920383491,2.356
1545609951.856113,312.5752428345142,2.356
1545609952.055918,310.1942936306793,2.356
1545609952.256081,307.81334442684437,2.356
1545609952.455829,305.43239522300945,2.356
1545609952.655834,301.6358523244638,2.356
1545609952.85612,300.22025862975306,1.571
1545609953.056125,298.8046649350423,1.571
1545609953.255757,297.38907124033153,1.571
1545609953.455776,295.9734775456208,1.571
1545609953.655775,294.55788385091006,1.571
1545609953.856145,293.1422901561993,1.571
1545609954.055775,291.72669646148853,1.571
1545609954.255754,290.31110276677776,1.571
1545609954.455802,288.895509072067,1.571
1545609954.655762,287.47991537735624,1.571
1545609954.856062,286.06432168264547,1.571
1545609955.055759,284.6487279879347,1.571
1545609955.256083,283.233134293224,1.571
1545609955.455776,281.81754059851323,1.571
1545609955.655732,280.40194690380247,1.571
1545609955.856047,278.9863532090917,1.571
1545609956.055784,277.57075951438094,1.571
1545609956.25573,276.1551658196702,1.571
1545609956.455809,274.7395721249594,1.571
1545609956.656047,273.32397843024864,1.571
1545609956.856095,271.9083847355379,1.571
1545609957.055758,270.49279104082717,2.356
1545609957.255761,269.0771973461164,2.356
1545609957.455752,267.66160365140564,2.356
1545609957.655695,266.2460099566949,2.356
1545609957.856103,264.8304162619841,2.356
1545609958.055833,263.41482256727335,2.356
1545609958.255707,261.9992288725626,2.356
1545609958.455714,260.5836351778518,2.356
1545609958.655727,259.16804148314105,2.356
1545609958.856059,257.75244778843035,2.356
1545609959.055759,256.3368540937196,2.356
1545609959.255704,254.92126039900882,2.356
1545609959.455702,253.50566670429805,2.356
1545609959.655743,252.0900730095873,2.356
1545609959.856076,250.67447931487652,2.356
1545609960.055717,249.25888562016576,2.356
1545609960.255745,247.84329192545502,2.356
1545609960.4557,246.42769823074426,2.356
1545609960.655651,245.0121045360335,2.356
1545609960.856009,243.59651084132273,2.356
1545609961.055708,242.180917146612,2.356
1545609961.255705,240.76532345190122,2.356
1545609961.455814,239.34972975719046,2.356
1545609961.655965,237.9341360624797,2.356
1545609961.855992,236.51854236776893,2.356
1545609962.055708,235.1029486730582,2.356
1545609962.255691,233.68735497834743,2.356
1545609962.455698,232.27176128363666,2.356
1545609962.655662,230.8561675889259,2.356
1545609962.856005,229.44057389421516,2.356
1545609963.055686,228.0249801995044,2.356
1545609963.255706,226.60938650479363,2.356
1545609963.455705,225.19379281008287,2.356
1545609963.655699,223.7781991153721,2.356
1545609963.855973,222.36260542066137,2.356
1545609964.055652,220.9470117259506,2.356
1545609964.255767,219.53141803123984,2.356
1545609964.455705,218.11582433652907,2.356
1545609964.655657,216.70023064181834,2.356
1545609964.855936,215.28463694710757,2.356
1545609965.056087,213.8690432523968,2.356
1545609965.255627,212.45344955768604,2.356
1545609965.455645,211.03785586297528,2.356
1545609965.655639,209.62226216826454,2.356
1545609965.855928,208.20666847355378,2.356
1545609966.055642,206.791074778843,2.356
1545609966.255728,205.37548108413225,2.356
1545609966.455721,203.9598873894215,2.356
1545609966.655957,202.54429369471075,2.356
1545609966.856001,201.83649684735536,1.571
1545609967.055601,201.12869999999998,1.571
1545609967.255652,203.2027,1.571
1545609967.455608,208.1257,1.571
1545609967.655688,205.76569999999998,1.571
1545609967.855951,215.8877,1.571
1545609968.055976,207.7787,1.571
1545609968.255614,211.0947,1.571
1545609968.455668,207.2237,1.571
1545609968.655594,208.9497,1.571
1545609968.855929,204.6497,1.571
1545609969.055681,196.9197,1.571
1545609969.255576,195.6737,1.571
1545609969.455914,210.77169999999998,1.571
1545609969.655683,210.77169999999998,1.571
1545609969.855949,209.0837,1.571
1545609970.055725,209.0837,1.571
1545609970.255961,213.8897,1.571
1545609970.455595,213.8897,1.571
1545609970.655568,217.7377,1.571
1545609970.855882,197.5477,1.571
1545609971.055928,224.06969999999998,1.571
1545609971.255547,224.06969999999998,1.571
1545609971.455568,200.9937,1.571
1545609971.65556,200.9937,1.571
1545609971.855875,193.49269999999999,1.571
1545609972.055644,195.1007,1.571
1545609972.255543,181.25369999999998,1.571
1545609972.455528,185.2927,1.571
1545609972.655919,194.43269999999998,1.571
1545609972.855973,184.8807,1.571
1545609973.055565,186.61069999999998,1.571
1545609973.255558,175.93269999999998,1.571
1545609973.455596,175.4587,1.571
1545609973.655637,183.9297,1.571
1545609973.855813,181.8147,1.571
1545609974.055636,201.5367,1.571
1545609974.255604,193.5077,1.571
1545609974.455561,181.8637,1.571
1545609974.655557,168.1667,1.571
1545609974.856378,161.5297,1.571
1545609975.055562,191.62269999999998,1.571
1545609975.255511,189.0657,1.571
1545609975.455717,199.2397,1.571
1545609975.655544,207.1777,1.571
1545609975.85588,210.0727,1.571
1545609976.055527,210.4417,1.571
1545609976.255579,208.0147,1.571
1545609976.455594,204.26569999999998,1.571
1545609976.655512,201.6517,1.571
1545609976.855827,203.5207,1.571
1545609977.055595,205.9037,1.571
1545609977.25556,196.76569999999998,1.571
1545609977.455612,201.6327,1.571
1545609977.65558,200.6207,1.571
1545609977.855713,206.9847,1.571
1545609978.055581,211.5167,1.571
1545609978.255956,213.2887,1.571
1545609978.455468,209.5657,1.571
1545609978.655502,204.1627,1.571
1545609978.855789,202.21269999999998,1.571
1545609979.055445,211.7937,1.571
1545609979.255287,205.0127,1.571
1545609979.455484,203.39669999999998,1.571
1545609979.655491,209.4037,1.571
1545609979.855762,205.4677,1.571
1545609980.055541,198.6957,1.571
1545609980.255466,204.1567,1.571
1545609980.455465,197.0967,1.571
1545609980.655473,216.2677,1.571
1545609980.855734,203.4797,1.571
1545609981.055457,216.51069999999999,1.571
1545609981.255381,206.2407,1.571
1545609981.455523,204.8767,1.571
1545609981.655462,210.5867,1.571
1545609981.855785,216.2877,1.571
1545609982.05549,209.3227,1.571
1545609982.255438,204.6377,1.571
1545609982.455514,196.59369999999998,1.571
1545609982.655349,198.8427,1.571
1545609982.855662,183.5177,1.571
1545609983.055426,199.38569999999999,1.571
1545609983.255392,245.7757,1.571
1545609983.455429,202.1617,1.571
1545609983.65542,202.1617,1.571
1545609983.85568,201.5957,1.571
1545609984.055489,210.62869999999998,1.571
1545609984.255366,206.8777,1.571
1545609984.455415,203.6157,1.571
1545609984.655371,214.49769999999998,1.571
1545609984.85569,231.0837,1.571
1545609985.055408,194.8307,1.571
1545609985.25541,200.9407,1.571
1545609985.455448,194.9557,1.571
1545609985.655491,201.82569999999998,1.571
1545609985.855708,207.38469999999998,1.571
1545609986.055444,200.9777,1.571
1545609986.255397,209.9647,1.571
1545609986.455381,205.2097,1.571
1545609986.655432,204.5447,1.571
1545609986.855685,203.02169999999998,1.571
1545609987.055365,206.0327,1.571
1545609987.255697,206.2747,1.571
1545609987.455401,209.6577,1.571
1545609987.655379,206.5317,1.571
1545609987.855669,203.2907,1.571
1545609988.055468,203.7447,1.571
1545609988.255395,203.8647,1.571
1545609988.455419,203.1907,1.571
1545609988.655693,202.3347,1.571
1545609988.855662,200.5807,1.571
1545609989.055388,202.6987,1.571
1545609989.255446,202.6987,1.571
1545609989.455711,212.6097,1.571
1545609989.655442,212.6097,1.571
1545609989.856082,212.9437,1.571
1545609990.055413,212.9437,1.571
1545609990.25535,213.30214832764227,2.356
1545609990.455406,216.30401646786288,2.356
1545609990.655368,219.70980833521975,2.356
1545609990.855636,229.0660610074916,2.356
1545609991.0554,229.0660610074916,2.356
1545609991.255313,236.43433248031795,2.356
1545609991.455308,239.5242964004534,2.356
1545609991.655308,245.77290862301788,2.356
1545609991.8565,248.92308749087624,2.356
1545609992.055401,253.0278535971354,2.356
1545609992.255303,257.8637368125312,2.356
1545609992.455396,262.74851052200586,2.356
1545609992.655412,266.55283026705456,2.356
1545609992.855657,271.73108354478643,2.356
1545609993.055403,277.1608416906022,2.356
1545609993.255372,282.3100939851181,2.356
