timestamp,updated_heading,uncertainty
1650824650.214701,14.815025,1.571
1650824650.414594,14.815025,1.571
1650824650.614639,14.815025,1.571
1650824650.814922,14.815025,1.571
1650824651.014658,14.815025,1.571
1650824651.214612,14.815025,1.571
1650824651.414604,14.815025,1.571
1650824651.614673,14.815025,1.571
1650824651.814961,14.815025,1.571
1650824652.014602,14.815025,1.571
1650824652.214686,14.815025,1.571
1650824652.414679,14.815025,1.571
1650824652.614617,14.815025,1.571
1650824652.814965,14.815025,1.571
1650824653.014694,14.815025,1.571
1650824653.214588,14.815025,1.571
1650824653.414578,14.815025,1.571
1650824653.614586,14.815025,1.571
1650824653.814921,14.815025,1.571
1650824654.014599,14.815025,1.571
1650824654.214689,14.815025,1.571
1650824654.414609,14.815025,1.571
1650824654.614668,14.815025,1.571
1650824654.814907,14.815025,1.571
1650824655.014649,14.815025,1.571
1650824655.214596,14.815025,1.571
1650824655.414562,14.815025,1.571
1650824655.614578,14.815025,1.571
1650824655.8149,14.815025,1.571
1650824656.014655,14.815025,1.571
1650824656.214618,14.815025,1.571
1650824656.414589,14.815025,1.571
1650824656.614614,14.815025,1.571
1650824656.814904,14.815025,1.571
1650824657.014665,14.815025,1.571
1650824657.214637,14.815025,1.571
1650824657.414592,14.815025,1.571
1650824657.614593,14.815025,1.571
1650824657.814809,14.815025,1.571
1650824658.01457,14.815025,1.571
1650824658.214519,14.815025,1.571
1650824658.414441,14.815025,1.571
1650824658.614508,14.815025,1.571
1650824658.814851,14.815025,1.571
1650824659.014519,14.815025,1.571
1650824659.21444,14.815025,1.571
1650824659.414521,14.815025,1.571
1650824659.6145,14.815025,1.571
1650824659.814776,14.815025,1.571
1650824660.014551,14.815025,1.571
1650824660.214371,14.815025,1.571
1650824660.414617,14.815025,1.571
1650824660.614595,14.815025,1.571
1650824660.814929,14.815025,1.571
1650824661.014571,14.815025,1.571
1650824661.21452,14.815025,1.571
1650824661.414562,14.815025,1.571
1650824661.614605,14.815025,1.571
1650824661.814806,14.815025,1.571
1650824662.014565,14.815025,1.571
1650824662.21448,14.815025,1.571
1650824662.414484,14.815025,1.571
1650824662.614416,14.815025,1.571
1650824662.814744,14.815025,1.571
1650824663.014586,14.815025,1.571
1650824663.214436,14.815025,1.571
1650824663.414491,14.815025,1.571
1650824663.614443,14.815025,1.571
1650824663.814741,14.815025,1.571
1650824664.014493,14.815025,1.571
1650824664.214521,14.815025,1.571
1650824664.414543,14.815025,1.571
1650824664.614373,14.815025,1.571
1650824664.814752,14.815025,1.571
1650824665.014437,14.815025,1.571
1650824665.214403,14.815025,1.571
1650824665.41439,14.815025,1.571
1650824665.614385,14.815025,1.571
1650824665.814672,14.815025,1.571
1650824666.014482,14.815025,1.571
1650824666.214431,14.815025,1.571
1650824666.414452,14.815025,1.571
1650824666.614348,14.815025,1.571
1650824666.814652,14.815025,1.571
1650824667.014413,14.8,1.571
1650824667.214336,14.8,1.571
1650824667.414374,14.8,1.571
1650824667.61435,14.8,1.571
1650824667.814701,14.8,1.571
1650824668.01439,14.8,1.571
1650824668.21438,14.8,1.571
1650824668.414455,14.8,1.571
1650824668.614359,14.8,1.571
1650824668.81468,14.8,1.571
1650824669.014481,14.8,1.571
1650824669.214404,14.8,1.571
1650824669.414489,14.8,1.571
1650824669.614391,14.8,1.571
1650824669.814665,14.8,1.571
1650824670.014363,14.8,1.571
1650824670.214348,14.8,1.571
1650824670.41452,14.8,1.571
1650824670.614352,14.8,1.571
1650824670.814673,14.8,1.571
1650824671.014449,14.8,1.571
1650824671.214324,14.8,1.571
1650824671.414326,14.8,1.571
1650824671.614232,14.8,1.571
1650824671.814628,14.8,1.571
1650824672.014406,14.8,1.571
1650824672.214326,14.8,1.571
1650824672.414316,14.8,1.571
1650824672.614299,14.8,1.571
1650824672.814572,14.8,1.571
1650824673.014461,14.8,1.571
1650824673.214292,14.8,1.571
1650824673.414357,14.8,1.571
1650824673.614293,14.8,1.571
1650824673.814565,14.8,1.571
1650824674.014294,14.8,1.571
1650824674.214253,14.8,1.571
1650824674.414285,14.8,1.571
1650824674.614156,14.8,1.571
1650824674.814548,14.8,1.571
1650824675.014279,14.8,1.571
1650824675.214173,14.8,1.571
1650824675.414285,14.8,1.571
1650824675.614315,14.8,1.571
1650824675.814521,14.8,1.571
1650824676.014335,14.8,1.571
1650824676.214288,14.8,1.571
1650824676.414323,14.8,1.571
1650824676.614394,14.8,1.571
1650824676.814587,14.8,1.571
1650824677.014351,14.8,1.571
1650824677.214212,14.8,1.571
1650824677.414323,14.8,1.571
1650824677.614306,14.8,1.571
1650824677.814552,14.8,1.571
1650824678.014325,14.8,1.571
1650824678.214241,14.8,1.571
1650824678.414246,14.8,1.571
1650824678.61421,14.8,1.571
1650824678.814808,14.8,1.571
1650824679.014273,14.8,1.571
1650824679.214152,14.8,1.571
1650824679.414203,14.8,1.571
1650824679.614432,14.8,1.571
1650824679.814473,14.8,1.571
1650824680.014188,55.54,1.571
1650824680.214163,55.54,1.571
1650824680.414205,55.54,1.571
1650824680.614104,55.54,1.571
1650824680.814489,55.54,1.571
1650824681.01415,55.54,1.571
1650824681.214119,55.54,1.571
1650824681.414166,55.54,1.571
1650824681.614113,55.54,1.571
1650824681.814437,55.54,1.571
1650824682.01415,55.54,1.571
1650824682.214111,55.54,2.356
1650824682.414131,55.54,2.356
1650824682.614189,55.54,2.356
1650824682.814517,55.54,2.356
1650824683.014137,55.54,2.356
1650824683.214112,55.54,2.356
1650824683.414166,55.54,2.356
1650824683.614099,55.54,2.356
1650824683.81447,55.54,2.356
1650824684.014235,55.54,2.356
1650824684.21421,55.54,2.356
1650824684.414218,55.54,2.356
1650824684.61415,55.54,2.356
1650824684.814385,55.54,2.356
1650824685.014147,14.0,2.356
1650824685.214097,18.615453448865203,2.356
1650824685.41415,23.230906897730407,2.356
1650824685.614022,27.84636034659561,2.356
1650824685.814359,32.46181379546081,2.356
1650824686.014199,37.077267244326016,2.356
1650824686.214021,41.69272069319122,2.356
1650824686.414087,46.30817414205642,2.356
1650824686.613994,50.923627590921626,2.356
1650824686.814424,55.53908103978683,2.356
1650824687.014175,60.15453448865203,2.356
1650824687.214062,64.76998793751724,2.356
1650824687.414108,69.38544138638244,2.356
