timestamp,updated_heading,uncertainty
1650825168.406047,9.7325,1.571
1650825168.605981,9.7325,1.571
1650825168.806271,9.7325,1.571
1650825169.005978,9.7325,1.571
1650825169.2059,9.7325,1.571
1650825169.405921,9.7325,1.571
1650825169.605968,9.7325,1.571
1650825169.806251,9.7325,1.571
1650825170.005963,9.7325,1.571
1650825170.205948,9.7325,1.571
1650825170.405936,9.7325,1.571
1650825170.606009,9.7325,1.571
1650825170.806296,9.7325,1.571
1650825171.005928,9.7325,1.571
1650825171.205936,9.7325,1.571
1650825171.405916,9.7325,1.571
1650825171.605892,9.7325,1.571
1650825171.806254,9.7325,1.571
1650825172.005965,9.7325,1.571
1650825172.205923,9.7325,1.571
1650825172.405925,9.7325,1.571
1650825172.605875,9.7325,1.571
1650825172.806229,9.7325,1.571
1650825173.005934,9.7325,1.571
1650825173.205867,9.7325,1.571
1650825173.405869,9.7325,1.571
1650825173.605916,9.7325,1.571
1650825173.806302,9.7325,1.571
1650825174.00593,9.7325,1.571
1650825174.205909,9.7325,1.571
1650825174.405896,9.7325,1.571
1650825174.606054,9.7325,1.571
1650825174.806229,9.7325,1.571
1650825175.00595,9.7325,1.571
1650825175.205965,9.7325,1.571
1650825175.40589,9.7325,1.571
1650825175.605897,9.7325,1.571
1650825175.806185,9.7325,1.571
1650825176.005916,9.7325,1.571
1650825176.205866,9.7325,1.571
1650825176.405896,9.7325,1.571
1650825176.605811,9.7325,1.571
1650825176.806196,9.7325,1.571
1650825177.005857,9.7325,1.571
1650825177.205877,9.7325,1.571
1650825177.405835,9.7325,1.571
1650825177.605825,9.7325,1.571
1650825177.806221,9.7325,1.571
1650825178.005841,9.7325,1.571
1650825178.20581,9.7325,1.571
1650825178.405852,9.7325,1.571
1650825178.605823,9.7325,1.571
1650825178.806108,9.7325,1.571
1650825179.005923,9.7325,1.571
1650825179.205786,9.7325,1.571
1650825179.405821,9.7325,1.571
1650825179.605787,9.7325,1.571
1650825179.806131,9.7325,1.571
1650825180.005828,9.7325,1.571
1650825180.205788,9.7325,1.571
1650825180.405787,9.7325,1.571
1650825180.605873,9.7325,1.571
1650825180.806234,9.7325,1.571
1650825181.005881,9.7325,1.571
1650825181.205791,9.7325,1.571
1650825181.405773,9.7325,1.571
1650825181.605757,9.7325,1.571
1650825181.806052,9.7325,1.571
1650825182.005779,9.7325,1.571
1650825182.205741,9.7325,1.571
1650825182.405811,9.7325,1.571
1650825182.605806,9.7325,1.571
1650825182.806076,9.7325,1.571
1650825183.00591,9.7325,1.571
1650825183.205791,9.7325,1.571
1650825183.405783,9.7325,1.571
1650825183.605702,9.7325,1.571
1650825183.806153,9.7325,1.571
1650825184.005772,9.7325,1.571
1650825184.205772,9.7325,1.571
