timestamp,lat,lon,pointer_lat,pointer_lon,ouster_lat,ouster_lon,frontLeftWheel_lat,frontLeftWheel_lon,frontRightWheel_lat,frontRightWheel_lon,rearLeftWheel_lat,rearLeftWheel_lon,rearRightWheel_lat,rearRightWheel_lon,cam_lat,cam_lon,topRight_frame_lat,topRight_frame_lon,topLeft_frame_lat,topLeft_frame_lon,bottomRight_frame_lat,bottomRight_frame_lon,bottomLeft_frame_lat,bottomLeft_frame_lon
1650825168.406047,38.065917507600005,-109.3610232203,38.06593082689651,-109.36102033070654,38.065923111194394,-109.36101978472281,38.06592260122886,-109.36102323675456,38.065921731601144,-109.3610168235604,38.06591805490897,-109.36102422306897,38.06591718528131,-109.3610178098752,38.065923457496105,-109.36101970959336,38.06592383698005,-109.36101903856171,38.065923044492344,-109.36101907543726,38.06592387575978,-109.36102037646869,38.06592307888255,-109.36102041059196
1650825168.605981,38.0659175046,-109.3610232263,38.06593082389651,-109.36102033670655,38.06592310819439,-109.36101979072282,38.065922598228866,-109.36102324275457,38.06592172860114,-109.36101682956043,38.06591805190898,-109.36102422906897,38.065917182281304,-109.3610178158752,38.0659234544961,-109.36101971559339,38.06592383398005,-109.36101904456173,38.06592304149235,-109.36101908143728,38.06592387275977,-109.3610203824687,38.06592307588255,-109.36102041659198
1650825168.806271,38.0659174962,-109.3610232444,38.0659308154965,-109.36102035480654,38.065923099794375,-109.36101980882282,38.06592258982886,-109.36102326085457,38.065921720201125,-109.36101684766041,38.065918043508965,-109.36102424716896,38.065917173881296,-109.3610178339752,38.0659234460961,-109.36101973369338,38.06592382558005,-109.36101906266173,38.065923033092346,-109.36101909953726,38.065923864359775,-109.3610204005687,38.065923067482544,-109.36102043469198
1650825169.005978,38.0659174734,-109.3610232737,38.0659307926965,-109.36102038410654,38.06592307699439,-109.36101983812281,38.06592256702886,-109.36102329015456,38.06592169740114,-109.36101687696042,38.06591802070897,-109.36102427646895,38.0659171510813,-109.3610178632752,38.06592342329609,-109.36101976299338,38.065923802780034,-109.36101909196172,38.065923010292344,-109.36101912883727,38.06592384155976,-109.36102042986869,38.06592304468254,-109.36102046399198
1650825169.2059,38.0659174639,-109.36102326640001,38.0659307831965,-109.36102037680655,38.06592306749438,-109.36101983082283,38.06592255752886,-109.36102328285457,38.06592168790113,-109.36101686966043,38.065918011208964,-109.36102426916896,38.06591714158131,-109.3610178559752,38.0659234137961,-109.36101975569339,38.06592379328006,-109.36101908466173,38.06592300079235,-109.36101912153728,38.06592383205978,-109.3610204225687,38.06592303518254,-109.36102045669199
1650825169.405921,38.065917465000005,-109.3610232722,38.065930784296505,-109.36102038260654,38.06592306859439,-109.36101983662282,38.06592255862886,-109.36102328865456,38.06592168900114,-109.36101687546042,38.06591801230896,-109.36102427496895,38.06591714268131,-109.3610178617752,38.0659234148961,-109.36101976149338,38.06592379438004,-109.36101909046172,38.065923001892344,-109.36101912733727,38.06592383315977,-109.3610204283687,38.06592303628254,-109.36102046249198
1650825169.605968,38.0659174583,-109.3610232851,38.0659307775965,-109.36102039550654,38.06592306189438,-109.36101984952282,38.06592255192886,-109.36102330155457,38.06592168230113,-109.36101688836042,38.065918005608964,-109.36102428786896,38.065917135981294,-109.3610178746752,38.065923408196085,-109.36101977439338,38.065923787680035,-109.36101910336173,38.06592299519233,-109.36101914023727,38.06592382645976,-109.36102044126869,38.065923029582535,-109.36102047539198
1650825169.806251,38.065917459000005,-109.3610233063,38.065930778296504,-109.36102041670654,38.06592306259438,-109.36101987072281,38.065922552628855,-109.36102332275456,38.065921683001136,-109.3610169095604,38.065918006308955,-109.36102430906895,38.06591713668131,-109.3610178958752,38.0659234088961,-109.36101979559338,38.06592378838003,-109.36101912456172,38.065922995892336,-109.36101916143727,38.06592382715976,-109.36102046246869,38.06592303028253,-109.36102049659198
1650825170.005963,38.0659174687,-109.3610233016,38.0659307879965,-109.36102041200654,38.06592307229439,-109.36101986602281,38.06592256232886,-109.36102331805456,38.06592169270113,-109.36101690486042,38.06591801600897,-109.36102430436895,38.0659171463813,-109.3610178911752,38.065923418596086,-109.36101979089338,38.06592379808002,-109.36101911986172,38.065923005592325,-109.36101915673727,38.06592383685976,-109.3610204577687,38.06592303998253,-109.36102049189196
1650825170.205948,38.0659174608,-109.36102328950001,38.065930780096494,-109.36102039990655,38.065923064394376,-109.36101985392283,38.06592255442886,-109.36102330595457,38.065921684801125,-109.36101689276043,38.065918008108966,-109.36102429226897,38.06591713848129,-109.3610178790752,38.06592341069609,-109.36101977879339,38.06592379018004,-109.36101910776173,38.06592299769233,-109.36101914463728,38.065923828959754,-109.3610204456687,38.06592303208254,-109.36102047979199
