timestamp,updated_heading
1650825680.396183,320.187
1650825681.396242,320.187
1650825681.796537,-39.680016216859826
1650825682.99634,315.808
1650825683.196193,28.831
1650825683.396204,27.062
1650825683.59618,27.147992081650443
1650825683.796467,27.11014600345942
1650825683.996199,28.17053970229304
1650825684.196195,29.689765019000617
1650825684.396181,32.06017534026438
1650825684.596166,34.57934035146184
1650825684.796578,38.79862140934557
1650825684.996174,41.26907351138249
1650825685.196172,43.43947540318072
1650825685.396217,45.48680411632455
1650825685.596175,47.19295805023705
1650825685.796447,49.78417472698902
1650825685.996279,296.38369898266967
1650825686.196228,302.3703979653393
1650825686.396157,308.3570969480089
1650825686.596171,314.34379593067865
1650825686.796463,320.3304949133483
1650825686.9962,326.3171938960179
1650825687.196171,332.3038928786875
1650825687.596118,338.29059186135714
1650825687.79644,345.4671619871099
1650825687.996142,346.6570331301929
1650825688.196132,347.84690427327587
1650825688.396122,349.03677541635886
1650825688.596087,350.22664655944186
1650825688.796372,351.41651770252486
1650825688.996165,352.60638884560785
1650825689.196029,353.79625998869085
1650825689.396133,354.98613113177385
1650825689.5961,356.17600227485684
1650825689.796407,357.36587341793984
1650825689.996192,358.55574456102295
1650825690.196083,359.74561570410583
1650825690.396057,0.9354868471889404
1650825690.596075,2.125357990271823
1650825690.796398,3.315229133354933
1650825690.996241,4.505100276437815
1650825691.196056,5.694971419520925
1650825691.396077,6.884842562603808
1650825691.596054,8.074713705686918
1650825691.796393,9.2645848487698
1650825691.996063,10.45445599185291
1650825692.196015,11.644327134935793
1650825692.396052,12.834198278018903
1650825692.59611,14.024069421101785
1650825692.79637,15.213940564184895
1650825692.996091,16.403811707267778
1650825693.196073,17.593682850350888
1650825693.396012,18.783553993433884
1650825693.595978,19.97342513651688
1650825693.796326,21.163296279599876
1650825693.996062,22.353167422682873
1650825694.196028,23.54303856576587
1650825694.396087,24.732909708848865
1650825694.596178,25.92278085193186
1650825694.796367,27.112651995014858
1650825694.996113,28.302523138097854
1650825695.39599,29.49239428118085
1650825695.596029,30.682265424263846
1650825695.796341,31.872136567346843
1650825695.996046,33.06200771042984
1650825696.595951,34.251878853512835
1650825697.796299,35.44174999659583
1650825697.995964,36.63162113967883
1650825698.195901,37.821492282761824
1650825698.595966,39.01136342584482
1650825698.995973,40.201234568927816
1650825699.195881,41.39110571201081
1650825699.395916,42.58097685509392
1650825699.595923,43.770847998176805
1650825699.796261,44.960719141259915
1650825699.99595,46.1505902843428
1650825700.195881,47.34046142742591
1650825700.395906,48.53033257050879
1650825700.595924,49.7202037135919
1650825700.796232,50.91007485667478
1650825700.996033,52.09994599975789
1650825701.195936,53.289817142840775
1650825701.39595,54.479688285923885
1650825701.595936,55.66955942900677
1650825701.796173,56.85943057208988
1650825701.995968,58.04930171517276
1650825702.195951,59.23917285825587
1650825702.395848,60.42904400133875
1650825702.595921,61.61891514442186
1650825702.796256,62.80878628750486
1650825702.996007,63.998657430587855
1650825703.195802,65.18852857367085
1650825703.395839,66.37839971675385
1650825703.595805,67.56827085983684
1650825703.79623,68.75814200291984
1650825703.99586,69.94801314600284
1650825704.195816,71.13788428908583
1650825704.395868,72.32775543216883
1650825704.595906,73.51762657525182
1650825704.796175,74.70749771833482
1650825704.995948,75.89736886141782
1650825705.195829,77.08724000450081
1650825705.395817,78.27711114758381
1650825705.595805,79.4669822906668
1650825705.796179,80.6568534337498
1650825705.995939,81.8467245768328
1650825706.195863,83.0365957199158
1650825706.395837,84.22646686299879
1650825706.595727,85.41633800608179
1650825706.796111,86.60620914916478
1650825706.995886,87.79608029224778
1650825707.195794,88.98595143533078
1650825707.395813,90.17582257841377
1650825707.595833,91.36569372149688
1650825707.796066,92.55556486457976
1650825707.995748,93.74543600766287
1650825708.195797,94.93530715074576
1650825708.395717,96.12517829382887
1650825708.595759,96.80588538444567
1650825708.79611,97.48659247506248
1650825708.995863,98.16729956567929
1650825709.1957,98.84800665629615
