timestamp,yaw,angular_vel (yaw),true_course,lat,lon,filtered_lat,filtered_lon,position_covar0,position_covar1,position_covar2,position_covar3,position_covar4,position_covar5,position_covar6,position_covar7,position_covar8
1650828105.669056,,,9.7328,38.0660225154,-109.3614551369,38.11012028376146,-109.6024023442507,22657.88069589407,-1.4338307699310349,102.55763786366032,-1.433830770345196,22646.517367628487,289.7112845623212,102.55763786365753,289.7112845623045,98.52767960625057
1650828105.869013,-2.028434038162232,,40.1848,38.0660225139,-109.3614551286,38.1100360313225,-109.60242856786819,0.010251057818966208,-4.578887990991376e-09,3.730446958493449e-07,-4.578887991018481e-09,0.010251012894263655,2.812733599305818e-06,3.7304469584934894e-07,2.812733599305785e-06,0.10007601621293334
1650828106.069034,-2.0295095443725586,-0.005377908016430739,366.0738,38.066022524800005,-109.3614551293,38.11003621444369,-109.60242854895272,0.021004472111451396,-1.8250262217808268e-08,1.4880532350538877e-06,-1.825026221818774e-08,0.021004292337257396,1.1254200630144933e-05,1.4880532350539103e-06,1.1254200630144792e-05,0.20030410188410458
1650828106.26903,-2.028673648834229,-0.00047905550275087493,9.7328,38.066022531600005,-109.361455148,38.11003621444369,-109.60242854895272,0.021004472111451396,-1.8250262217808268e-08,1.4880532350538877e-06,-1.825026221818774e-08,0.021004292337257396,1.1254200630144933e-05,1.4880532350539103e-06,1.1254200630144792e-05,0.20030410188410458
1650828106.469315,-2.0294542312622075,-0.001457128778650935,63.401799999999994,38.066022537600006,-109.3614551477,38.11003602144975,-109.60242855578377,0.010239540113953186,-4.104295030140509e-09,3.5126882040741486e-07,-4.104295030086299e-09,0.010239499281302073,2.675777785445742e-06,3.5126882040741925e-07,2.6757777854457113e-06,0.10007597915977474
1650828106.669064,-2.0299212932586665,-0.0016523190210039665,9.7328,38.0660225346,-109.36145514809999,38.11003602144975,-109.60242855578377,0.010239540113953186,-4.104295030140509e-09,3.5126882040741486e-07,-4.104295030086299e-09,0.010239499281302073,2.675777785445742e-06,3.5126882040741925e-07,2.6757777854457113e-06,0.10007597915977474
1650828106.869015,-2.0280067920684814,0.0016694738442475992,9.7328,38.066022538000006,-109.36145516090001,38.11003605399037,-109.60242859932592,0.01022907525029698,-3.967707484504694e-09,3.4909112617792993e-07,-3.967707484504694e-09,0.01022903818518651,2.547049743068449e-06,3.4909112617793406e-07,2.5470497430684196e-06,0.10007594230022483
1650828107.069017,-2.027594804763794,0.002206938931732922,318.9878,38.0660225466,-109.3614551968,38.11003605399037,-109.60242859932592,0.01022907525029698,-3.967707484504694e-09,3.4909112617792993e-07,-3.967707484504694e-09,0.01022903818518651,2.547049743068449e-06,3.4909112617793406e-07,2.5470497430684196e-06,0.10007594230022483
1650828107.269003,-2.0287914276123047,-0.0001239812020399519,52.7618,38.066022553500005,-109.3614552056,38.11003605399037,-109.60242859932592,0.01022907525029698,-3.967707484504694e-09,3.4909112617792993e-07,-3.967707484504694e-09,0.01022903818518651,2.547049743068449e-06,3.4909112617793406e-07,2.5470497430684196e-06,0.10007594230022483
1650828107.469891,-2.0299060344696045,-0.00047567219132467736,9.7328,38.0660225512,-109.36145520759999,38.11003605399037,-109.60242859932592,0.01022907525029698,-3.967707484504694e-09,3.4909112617792993e-07,-3.967707484504694e-09,0.01022903818518651,2.547049743068449e-06,3.4909112617793406e-07,2.5470497430684196e-06,0.10007594230022483
1650828107.669198,-2.0276856422424316,0.0023538283158739044,9.7328,38.0660225441,-109.361455209,38.110036222193635,-109.60242858126327,0.02091654305128177,-1.58822521461959e-08,1.3977415355725443e-06,-1.5882252145979058e-08,0.02091639485374883,1.0187907397611335e-05,1.3977415355725652e-06,1.018790739761121e-05,0.20030380613653087
1650828107.869003,-2.028459072113037,-0.0004762317192416945,9.7328,38.0660225303,-109.3614552053,38.11003605282148,-109.60242870071778,0.010215060417168156,-3.454374795621362e-09,3.238483652492169e-07,-3.4543747955671517e-09,0.010215027632667332,2.387245836432799e-06,3.238483652492208e-07,2.3872458364327708e-06,0.10007588778622008
1650828108.069463,-2.02973484992981,-0.0022532416707128945,9.7328,38.066022505,-109.3614551926,38.11003621201917,-109.6024286857651,0.020860484507203618,-1.3918444581768885e-08,1.3016529525066263e-06,-1.3918444581768885e-08,0.020860353407196528,9.55033277677283e-06,1.3016529525066413e-06,9.550332776772714e-06,0.20030358815553084
1650828108.269026,-2.027785301208496,0.0024948203378763654,9.7328,38.0660224947,-109.3614551919,38.11003602675039,-109.6024286922181,0.010206679696292497,-3.3262643749933617e-09,3.1819046981527866e-07,-3.3262643749662566e-09,0.010206649404831474,2.2913845511020986e-06,3.181904698152823e-07,2.2913845511020715e-06,0.10007585173815366
1650828108.469807,-2.0273792743682857,0.0003603919943060484,9.7328,38.0660224983,-109.36145520480001,38.11003598480386,-109.60242867167355,0.010202743729065641,-3.2240710782810867e-09,3.1307635761205226e-07,-3.224071078335297e-09,0.010202714555457114,2.246563134246936e-06,3.130763576120551e-07,2.24656313424691e-06,0.10007583378192532
1650828108.669076,-2.026654720306397,0.0021224807110305157,9.7328,38.0660224881,-109.3614551997,38.110035960926574,-109.60242866742418,0.01019896416374834,-3.0124684495243335e-09,3.0100601247709714e-07,-3.0124684495514385e-09,0.010198935808843743,2.209072145617739e-06,3.0100601247710026e-07,2.2090721456177134e-06,0.10007581603595571
1650828108.868948,-2.026654720306397,0.0021224807110305157,9.7328,38.0660224809,-109.3614551926,38.11003596376925,-109.60242868887393,0.010195332026207406,-2.8683400180311465e-09,2.925117789519324e-07,-2.8683400180582515e-09,0.010195304459301141,2.1729937467834633e-06,2.925117789519354e-07,2.1729937467834375e-06,0.10007579834633457
1650828109.069452,-2.027477741241455,0.0012432799170687524,9.7328,38.0660224719,-109.3614551812,38.110035943162586,-109.60242868032967,0.010191838961603623,-2.7538519611924363e-09,2.861166399364017e-07,-2.7538519611653312e-09,0.01019181230696423,2.133918839932381e-06,2.8611663993640525e-07,2.133918839932355e-06,0.10007578054559425
1650828109.269033,-2.027477741241455,0.0012432799170687524,9.7328,38.0660224638,-109.3614551802,38.11003592844065,-109.60242866659789,0.010188477360797454,-2.6552929568372362e-09,2.8049307565840446e-07,-2.6552929568643413e-09,0.0101884515562736,2.096695933604393e-06,2.804930756584078e-07,2.096695933604368e-06,0.10007576280473345
1650828109.469811,-2.0282449722290044,-0.0009114356177803305,9.7328,38.0660224606,-109.3614551878,38.11003592844065,-109.60242866659789,0.010188477360797454,-2.6552929568372362e-09,2.8049307565840446e-07,-2.6552929568643413e-09,0.0101884515562736,2.096695933604393e-06,2.804930756584078e-07,2.096695933604368e-06,0.10007576280473345
1650828109.66912,-2.027675151824951,-0.001133962576585034,37.7948,38.0660224649,-109.3614551876,38.11003592844065,-109.60242866659789,0.010188477360797454,-2.6552929568372362e-09,2.8049307565840446e-07,-2.6552929568643413e-09,0.0101884515562736,2.096695933604393e-06,2.804930756584078e-07,2.096695933604368e-06,0.10007576280473345
1650828109.869008,-2.0290086269378667,-0.0006185511484292728,9.7328,38.066022470600004,-109.361455191,38.110035913524136,-109.60242864968058,0.010185240067116491,-2.5612587136087956e-09,2.7577109626055543e-07,-2.5612587136359007e-09,0.010185215211715042,2.057007516407075e-06,2.757710962605584e-07,2.0570075164070503e-06,0.10007574496459196
1650828110.069505,-2.0289885997772212,-0.0016790295384134343,368.9188,38.0660224863,-109.3614551871,38.11003589942063,-109.60242866143855,0.01018212048668667,-2.5620542132612743e-09,2.7497738100886083e-07,-2.5620542132883794e-09,0.010182096282831971,2.0258247186860796e-06,2.749773810088638e-07,2.025824718686055e-06,0.10007572745591772
1650828110.269131,-2.02787184715271,-0.0011331938633188927,97.1368,38.0660224839,-109.3614551574,38.110035936784385,-109.60242866184049,0.010176210228811032,-2.4960969073194606e-09,2.7076231078030246e-07,-2.4960969073465657e-09,0.010176187586269474,1.957072740136904e-06,2.7076231078030606e-07,1.95707274013688e-06,0.10007569216076766
1650828110.469769,-2.027979373931885,0.00029514687398659174,9.7328,38.0660224752,-109.361455152,38.1100360701093,-109.60242864711013,0.02070508558391539,-1.010661575696209e-08,1.0897556788522256e-06,-1.010661575690788e-08,0.02070499505764058,7.829962805435572e-06,1.0897556788522391e-06,7.829962805435472e-06,0.20030280566241643
1650828110.669036,-2.0293445587158203,-0.0003732143850433838,9.7328,38.066022468,-109.36145514190001,38.1100360701093,-109.60242864711013,0.02070508558391539,-1.010661575696209e-08,1.0897556788522256e-06,-1.010661575690788e-08,0.02070499505764058,7.829962805435572e-06,1.0897556788522391e-06,7.829962805435472e-06,0.20030280566241643
1650828110.86901,-2.028132438659668,0.00100699794870736,9.7328,38.0660224542,-109.3614551337,38.11003592569504,-109.60242860969969,0.010170702160777942,-2.4107537048166563e-09,2.6539406191538473e-07,-2.4107537048437613e-09,0.01017068089501598,1.8937104949097908e-06,2.653940619153876e-07,1.8937104949097684e-06,0.10007565704349614
1650828111.069022,-2.0281140804290776,-0.00030269851555630913,366.1728,38.066022471800004,-109.3614551401,38.11003587337849,-109.6024285713308,0.010165557666653982,-2.278091386674142e-09,2.577130768579229e-07,-2.278091386674142e-09,0.010165537664539055,1.833762348799054e-06,2.577130768579258e-07,1.833762348799032e-06,0.10007562203106826
